ortholog	carb	flav	macro
o1946	TR8289-c0_g4_i1	TR47944-c1_g1_i1	TR13985-c0_g1_i1
o1947	TR52401-c0_g3_i1	TR31273-c0_g1_i1	TR13987-c0_g2_i1
o1948	TR24514-c1_g1_i1	TR4205-c0_g1_i1	TR14028-c0_g1_i1
o1949	TR4766-c0_g1_i2	TR17846-c0_g2_i1	TR14827-c0_g1_i1
o1950	TR47684-c0_g2_i3	TR6405-c0_g2_i3	TR13998-c0_g2_i1
o1951	TR32867-c0_g1_i1	TR12881-c0_g1_i1	Matched_to_other_by_FastOrtho
o1952	TR41314-c2_g2_i1	TR34928-c1_g1_i1	TR19756-c0_g1_i1
o1953	TR54740-c0_g2_i2	TR28656-c0_g4_i1	TR1977-c2_g1_i1
o1954	TR31463-c0_g1_i1	TR3751-c0_g2_i2	TR19718-c0_g3_i1
o1955	TR50427-c1_g3_i1	TR51012-c1_g3_i3	TR19730-c2_g1_i1
o1956	TR16842-c0_g5_i1	TR22278-c0_g1_i1	TR19777-c1_g3_i1
o1957	TR45136-c2_g1_i1	Matched_to_other_by_FastOrtho	TR19790-c0_g1_i1
o1958	TR54112-c0_g3_i1	TR45788-c1_g4_i1	TR19776-c0_g1_i1
o1959	TR54112-c0_g2_i1	TR11851-c1_g2_i2	TR19776-c1_g2_i1
o1960	TR28324-c0_g1_i3	TR23791-c0_g3_i1	TR19791-c0_g1_i1
o1961	TR59489-c1_g1_i3	Matched_to_other_by_FastOrtho	TR19795-c0_g4_i1
o1962	TR56436-c1_g2_i1	TR18741-c0_g3_i1	TR6513-c0_g1_i1
o1963	TR45044-c0_g1_i1	TR50089-c2_g1_i1	Matched_to_other_by_FastOrtho
o1964	TR37876-c0_g1_i4	TR39742-c0_g2_i2	TR6504-c0_g2_i2
o1965	TR48638-c0_g2_i1	TR33787-c0_g1_i1	Matched_to_other_by_FastOrtho
o1966	TR8861-c1_g1_i1	TR20364-c0_g1_i1	TR6496-c0_g3_i7
o1967	TR27764-c0_g4_i1	TR20986-c0_g2_i1	TR46852-c1_g1_i1
o1968	TR47730-c1_g1_i1	TR232-c1_g1_i2	TR6484-c0_g2_i1
o1969	TR19715-c0_g3_i1	TR41032-c0_g5_i1	TR6484-c1_g1_i1
o1970	Matched_to_other_by_FastOrtho	TR49324-c0_g1_i3	TR19065-c1_g1_i2
o1971	TR45559-c0_g4_i1	Matched_to_other_by_FastOrtho	TR6523-c0_g4_i1
o1972	TR39711-c0_g3_i1	TR9694-c0_g2_i1	Matched_to_other_by_FastOrtho
o1973	TR43507-c0_g3_i1	TR16830-c0_g1_i1	TR16568-c0_g4_i1
o1974	TR30604-c1_g3_i2	TR10998-c0_g4_i3	TR16538-c0_g1_i1
o1975	TR829-c0_g1_i1	TR21613-c0_g1_i1	TR16544-c1_g1_i1
o1976	TR26608-c0_g2_i1	TR28885-c0_g2_i1	Matched_to_other_by_FastOrtho
o1977	TR2757-c0_g1_i1	Matched_to_other_by_FastOrtho	TR16537-c1_g1_i1
o1978	TR14300-c0_g4_i2	TR30022-c5_g4_i1	TR16487-c4_g2_i1
o1979	TR41711-c0_g1_i1	TR32811-c0_g1_i1	TR16493-c0_g2_i2
o1980	Matched_to_other_by_FastOrtho	TR48444-c0_g1_i1	TR37985-c0_g1_i1
o1981	TR34735-c0_g2_i1	TR37061-c0_g4_i1	TR16570-c0_g1_i1
o1982	TR8132-c0_g1_i2	TR20120-c1_g1_i2	TR16579-c0_g2_i2
o1983	TR49642-c0_g1_i1	TR35608-c0_g1_i1	TR47646-c0_g1_i1
o1984	TR27148-c6_g1_i1	TR47140-c9_g4_i1	TR7013-c4_g4_i1
o1985	TR47573-c0_g2_i1	TR44509-c2_g2_i1	TR39462-c0_g2_i1
o1986	TR34023-c0_g7_i2	TR20156-c0_g1_i1	TR31030-c0_g2_i1
o1987	TR57350-c1_g1_i1	TR43100-c0_g1_i1	TR26732-c0_g2_i1
o1988	TR47638-c0_g3_i1	TR32005-c0_g1_i1	TR26734-c0_g3_i1
o1989	TR41142-c0_g1_i4	TR6203-c0_g5_i2	TR2672-c1_g1_i1
o1990	TR51379-c0_g5_i2	TR48573-c0_g1_i1	TR26729-c0_g5_i2
o1991	TR52092-c1_g1_i1	TR10504-c0_g1_i1	Matched_to_other_by_FastOrtho
o1992	TR48408-c0_g2_i1	TR9775-c0_g1_i1	TR26711-c0_g1_i1
o1993	TR43107-c0_g1_i1	TR27132-c0_g1_i2	TR26684-c0_g1_i1
o1994	TR43629-c0_g1_i1	TR32515-c0_g1_i1	TR26705-c0_g2_i1
o1995	TR60071-c4_g3_i7	TR45521-c0_g1_i1	TR26670-c4_g44_i1
o1996	TR44332-c0_g1_i1	TR6412-c0_g1_i1	TR26678-c1_g1_i1
o1997	TR18015-c0_g1_i1	TR29918-c0_g1_i1	TR8093-c0_g1_i1
o1998	TR43292-c0_g1_i1	TR12838-c0_g1_i1	TR23236-c0_g1_i1
o1999	TR48091-c2_g2_i1	TR36984-c0_g2_i2	TR23253-c0_g2_i1
o2000	TR61473-c0_g1_i1	Matched_to_other_by_FastOrtho	TR23208-c0_g6_i2
o2001	TR56384-c0_g1_i1	TR7887-c0_g1_i1	TR23288-c1_g1_i1
o2002	TR26411-c0_g6_i1	TR29975-c1_g1_i1	TR23290-c1_g13_i2
o2003	TR53174-c0_g1_i1	TR14199-c0_g2_i1	TR23265-c0_g1_i1
o2004	TR22844-c0_g1_i2	TR28761-c1_g3_i1	TR23285-c0_g3_i1
o2005	TR40255-c0_g2_i1	Matched_to_other_by_FastOrtho	TR28172-c0_g1_i1
o2006	TR10033-c0_g2_i2	TR28392-c0_g1_i1	TR28183-c0_g2_i1
o2007	TR26411-c0_g5_i1	TR29975-c1_g3_i1	TR23290-c1_g13_i4
o2008	TR21625-c0_g2_i2	TR13070-c0_g1_i2	TR2331-c0_g1_i1
o2009	TR10194-c0_g1_i1	TR34667-c0_g3_i1	TR35015-c0_g3_i1
o2010	TR8643-c0_g1_i1	TR9128-c0_g1_i1	TR35007-c0_g1_i1
o2011	TR53291-c0_g1_i2	TR25014-c0_g1_i1	TR39477-c0_g1_i1
o2012	TR43576-c1_g1_i1	TR5897-c0_g2_i1	TR3948-c0_g1_i1
o2013	TR56826-c0_g10_i4	TR24936-c0_g3_i2	TR45500-c0_g1_i1
o2014	TR11984-c3_g3_i1	Matched_to_other_by_FastOrtho	TR40374-c1_g5_i1
o2015	TR34733-c1_g1_i2	TR12745-c0_g3_i2	TR30999-c1_g1_i1
o2016	TR18689-c0_g1_i2	TR24678-c0_g3_i2	TR26001-c0_g1_i1
o2017	TR58933-c0_g1_i1	TR40811-c0_g1_i1	TR26007-c1_g1_i1
o2018	TR13436-c1_g2_i1	Matched_to_other_by_FastOrtho	TR24974-c1_g1_i1
o2019	TR13453-c3_g3_i1	TR24983-c0_g1_i1	TR4000-c2_g2_i1
o2020	TR2463-c0_g1_i2	TR45072-c0_g1_i1	TR25965-c0_g1_i1
o2021	TR59594-c0_g1_i1	Matched_to_other_by_FastOrtho	TR25970-c0_g1_i1
o2022	TR23044-c0_g2_i1	Matched_to_other_by_FastOrtho	TR25940-c0_g1_i1
o2023	TR59586-c0_g3_i1	TR10870-c0_g1_i1	TR25958-c0_g1_i1
o2024	TR53964-c0_g2_i1	TR46233-c0_g3_i1	TR25996-c1_g5_i1
o2025	TR42095-c0_g3_i3	TR27220-c0_g1_i3	TR25997-c0_g2_i1
o2026	Matched_to_other_by_FastOrtho	TR50276-c0_g1_i1	TR25980-c0_g1_i1
o2027	TR53964-c0_g6_i1	TR46233-c0_g2_i2	TR25996-c1_g3_i1
o2028	TR39737-c1_g1_i1	TR39706-c0_g1_i2	Matched_to_other_by_FastOrtho
o2029	TR45768-c9_g1_i1	TR7076-c2_g1_i1	TR4032-c1_g1_i1
o2030	TR52987-c1_g2_i4	TR11376-c0_g6_i1	TR46470-c0_g1_i1
o2031	TR21563-c0_g6_i1	TR42227-c0_g8_i1	TR40302-c0_g5_i1
o2032	TR45353-c1_g2_i2	TR19955-c0_g4_i2	TR24756-c2_g4_i1
o2033	TR49602-c1_g9_i1	TR36171-c0_g10_i1	TR17397-c0_g2_i1
o2034	TR13816-c1_g2_i1	TR15602-c4_g1_i1	TR24727-c0_g1_i1
o2035	TR35923-c0_g6_i1	TR11432-c1_g2_i1	TR2473-c0_g4_i1
o2036	TR3206-c3_g10_i2	TR18073-c0_g10_i1	TR24699-c1_g5_i3
o2037	TR21105-c0_g1_i1	TR12192-c1_g1_i1	TR1786-c0_g1_i1
o2038	TR50236-c0_g1_i1	Matched_to_other_by_FastOrtho	TR6135-c1_g8_i1
o2039	TR32317-c0_g1_i1	TR37934-c1_g1_i1	Matched_to_other_by_FastOrtho
o2040	TR59955-c0_g1_i1	TR25220-c0_g1_i1	TR24776-c0_g1_i1
o2041	TR58025-c0_g2_i1	TR7051-c0_g9_i1	TR24778-c1_g1_i1
o2042	TR34161-c0_g3_i1	TR33866-c0_g1_i1	TR17394-c2_g1_i1
o2043	TR43600-c0_g1_i1	TR26460-c0_g1_i1	TR1737-c1_g1_i2
o2044	TR46675-c0_g5_i1	TR9948-c0_g6_i1	TR8727-c0_g5_i1
o2045	TR19308-c2_g1_i1	TR5106-c1_g11_i1	TR17904-c1_g1_i1
o2046	TR2148-c0_g2_i1	TR26558-c0_g1_i1	TR10647-c1_g1_i1
o2047	TR50076-c0_g1_i1	TR9865-c0_g1_i1	TR10649-c0_g2_i1
o2048	TR12025-c0_g1_i1	TR8137-c0_g2_i1	TR10609-c0_g3_i1
o2049	TR41035-c0_g1_i1	TR29312-c0_g1_i1	TR10639-c0_g1_i2
o2050	TR30257-c0_g2_i1	Matched_to_other_by_FastOrtho	TR10709-c0_g1_i1
o2051	TR27500-c1_g5_i1	TR8807-c0_g3_i6	TR10710-c1_g1_i5
o2052	TR4471-c0_g1_i1	TR26531-c0_g1_i1	TR10656-c0_g3_i1
o2053	TR28042-c2_g3_i1	TR9124-c0_g4_i1	TR10698-c0_g1_i1
o2054	TR27500-c1_g1_i3	TR34653-c0_g1_i1	TR10710-c2_g3_i1
o2055	TR27500-c1_g1_i2	TR34653-c0_g2_i1	TR10710-c2_g3_i2
o2056	TR13474-c0_g6_i2	TR3172-c0_g4_i2	TR33822-c0_g1_i1
o2057	TR35951-c1_g1_i4	Matched_to_other_by_FastOrtho	TR18941-c1_g5_i2
o2058	TR4580-c0_g1_i1	TR23414-c0_g2_i1	TR40322-c0_g1_i1
o2059	TR6592-c0_g2_i1	TR47352-c1_g1_i1	Matched_to_other_by_FastOrtho
o2060	TR34516-c4_g4_i1	TR29115-c0_g1_i1	TR18931-c0_g1_i1
o2061	TR42652-c0_g2_i1	Matched_to_other_by_FastOrtho	TR1897-c0_g1_i1
o2062	TR35951-c1_g1_i2	TR49022-c0_g1_i3	TR18941-c1_g6_i1
o2063	TR21398-c0_g2_i1	TR17253-c1_g1_i1	TR18976-c0_g1_i1
o2064	TR18302-c0_g4_i1	TR34520-c0_g1_i1	TR18970-c0_g1_i1
o2065	TR46340-c6_g2_i2	TR32317-c0_g6_i1	TR45347-c0_g1_i1
o2066	TR30614-c1_g1_i4	TR48617-c0_g1_i1	TR42207-c1_g2_i1
o2067	TR37725-c2_g1_i2	TR50823-c0_g1_i1	TR1899-c0_g4_i1
o2068	TR11521-c1_g2_i1	TR18492-c0_g1_i2	TR44039-c0_g1_i1
o2069	TR47686-c2_g1_i1	TR29654-c0_g2_i1	TR18981-c0_g1_i1
o2070	TR50831-c0_g1_i1	TR11711-c0_g1_i1	TR39085-c0_g1_i1
o2071	TR20658-c0_g1_i1	TR37471-c0_g2_i1	TR39118-c1_g1_i1
o2072	TR7923-c1_g1_i2	TR49094-c1_g3_i1	TR34073-c0_g3_i1
o2073	TR44807-c0_g1_i1	TR34747-c0_g1_i1	TR34074-c0_g1_i1
o2074	TR56070-c0_g2_i1	TR24299-c0_g2_i2	TR34321-c0_g1_i3
o2075	TR41367-c0_g1_i1	TR43138-c0_g2_i1	TR34017-c0_g2_i1
o2076	TR39441-c0_g2_i1	TR41960-c0_g1_i1	TR34067-c0_g3_i1
o2077	TR3609-c0_g1_i1	Matched_to_other_by_FastOrtho	TR33974-c0_g1_i1
o2078	TR34907-c0_g1_i1	Matched_to_other_by_FastOrtho	TR34003-c1_g1_i1
o2079	TR45772-c0_g1_i1	TR39049-c0_g1_i1	TR34012-c0_g1_i1
o2080	TR28190-c0_g1_i2	TR35821-c0_g1_i1	TR41402-c0_g2_i1
o2081	TR14216-c0_g7_i1	TR17118-c0_g5_i1	TR37106-c1_g2_i1
o2082	TR43264-c0_g2_i1	TR10664-c0_g2_i1	TR29184-c0_g1_i1
o2083	TR25525-c4_g1_i1	TR14-c0_g2_i1	TR37102-c0_g4_i1
o2084	TR25525-c4_g3_i1	TR48625-c0_g1_i1	TR37102-c1_g1_i1
o2085	TR35415-c0_g2_i1	TR21413-c0_g3_i1	TR37120-c0_g2_i1
o2086	TR14216-c0_g2_i1	TR17118-c0_g4_i2	TR37106-c1_g5_i1
o2087	TR43392-c0_g2_i1	TR16802-c0_g2_i1	TR29191-c0_g1_i1
o2088	Matched_to_other_by_FastOrtho	TR5564-c0_g1_i1	TR37140-c0_g1_i1
o2089	Matched_to_other_by_FastOrtho	TR11057-c0_g1_i1	TR37148-c0_g2_i1
o2090	TR20149-c0_g3_i2	TR43432-c0_g2_i1	Matched_to_other_by_FastOrtho
o2091	TR859-c2_g5_i1	TR22468-c0_g5_i1	TR6111-c2_g2_i4
o2092	TR10581-c1_g3_i1	TR25705-c0_g10_i1	TR36415-c0_g2_i1
o2093	TR8811-c0_g4_i2	TR5923-c0_g4_i2	TR29213-c0_g3_i1
o2094	TR43265-c1_g16_i2	TR42657-c0_g1_i1	Matched_to_other_by_FastOrtho
o2095	TR30725-c0_g5_i4	TR46624-c1_g2_i2	TR29115-c2_g8_i1
o2096	TR7953-c0_g1_i1	TR48605-c0_g3_i1	TR36300-c0_g2_i1
o2097	TR22442-c0_g1_i1	TR42820-c0_g2_i1	TR36327-c0_g1_i1
o2098	TR14721-c0_g1_i1	TR18258-c0_g1_i2	Matched_to_other_by_FastOrtho
o2099	TR41768-c2_g2_i1	TR15591-c0_g3_i1	TR3640-c3_g3_i3
o2100	TR46039-c0_g1_i1	TR47624-c0_g1_i1	TR29157-c0_g1_i1
o2101	TR39959-c0_g1_i1	TR26345-c0_g1_i1	TR29161-c0_g1_i1
o2102	TR54962-c0_g2_i1	TR27233-c0_g1_i1	TR46617-c0_g2_i1
o2103	TR58346-c1_g1_i1	TR17945-c1_g1_i3	Matched_to_other_by_FastOrtho
o2104	TR23288-c6_g3_i1	TR10344-c0_g5_i1	TR44132-c1_g2_i1
o2105	TR41344-c3_g2_i2	TR39804-c1_g1_i1	TR40519-c0_g3_i1
o2106	TR1459-c0_g1_i1	Matched_to_other_by_FastOrtho	TR44155-c0_g1_i1
o2107	TR29291-c1_g3_i1	TR8609-c0_g1_i3	TR43156-c0_g3_i2
o2108	TR1647-c0_g1_i1	TR24792-c2_g1_i1	TR44166-c1_g2_i1
o2109	TR1607-c2_g1_i1	TR5839-c1_g1_i1	TR44160-c1_g1_i1
o2110	TR53099-c0_g1_i1	TR35113-c0_g1_i1	Matched_to_other_by_FastOrtho
o2111	TR7075-c0_g5_i3	TR18019-c0_g4_i2	TR44183-c0_g1_i2
o2112	TR8745-c0_g5_i1	TR16515-c1_g6_i1	TR44254-c1_g3_i2
o2113	Matched_to_other_by_FastOrtho	TR22688-c0_g1_i3	TR4423-c0_g2_i1
o2114	TR38089-c1_g3_i1	TR6990-c0_g4_i1	TR659-c0_g2_i1
o2115	TR9597-c0_g7_i1	TR9787-c2_g2_i1	Matched_to_other_by_FastOrtho
o2116	TR31154-c1_g1_i1	Matched_to_other_by_FastOrtho	TR45692-c0_g1_i1
o2117	TR44636-c0_g2_i1	TR9400-c1_g1_i1	TR46879-c1_g1_i1
o2118	Matched_to_other_by_FastOrtho	TR45688-c0_g1_i1	TR45618-c0_g1_i3
o2119	TR53851-c1_g2_i1	TR1288-c0_g1_i2	TR45612-c0_g4_i1
o2120	TR18187-c0_g5_i1	TR41435-c0_g2_i1	Matched_to_other_by_FastOrtho
o2121	TR42785-c0_g2_i2	TR33014-c0_g1_i1	Matched_to_other_by_FastOrtho
o2122	TR51887-c0_g1_i1	TR15554-c0_g3_i1	TR45652-c1_g1_i1
o2123	TR26746-c1_g4_i1	TR34001-c0_g1_i2	TR41810-c0_g1_i1
o2124	TR30554-c1_g1_i1	TR13289-c0_g1_i1	TR45676-c0_g1_i1
o2125	TR40523-c0_g1_i3	TR24870-c0_g1_i2	TR45662-c0_g1_i2
o2126	TR38726-c0_g3_i1	TR29487-c0_g6_i1	TR7740-c0_g10_i1
o2127	TR53708-c0_g1_i1	TR6562-c0_g1_i1	Matched_to_other_by_FastOrtho
o2128	TR45034-c1_g1_i2	TR1714-c0_g3_i1	TR7677-c0_g1_i1
o2129	TR19830-c0_g2_i2	TR15264-c0_g1_i1	TR7652-c0_g8_i4
o2130	TR22911-c0_g2_i1	TR8945-c0_g1_i1	TR7624-c0_g1_i1
o2131	TR28468-c0_g1_i1	TR16457-c0_g2_i1	TR7720-c0_g2_i1
o2132	TR10078-c0_g3_i3	TR3067-c0_g4_i1	TR772-c0_g2_i1
o2133	TR22978-c0_g10_i1	TR39263-c1_g14_i3	TR25093-c0_g4_i1
o2134	TR590-c4_g1_i1	TR19062-c0_g3_i1	TR7710-c0_g1_i1
o2135	TR24574-c0_g1_i1	TR29685-c0_g1_i1	TR16907-c0_g2_i1
o2136	TR18351-c2_g4_i1	TR3201-c1_g5_i1	TR16902-c0_g1_i3
o2137	TR41809-c0_g1_i1	TR9481-c1_g1_i1	TR45510-c2_g1_i1
o2138	TR39262-c1_g1_i1	TR21523-c0_g1_i1	TR12493-c0_g3_i1
o2139	TR52906-c0_g1_i1	Matched_to_other_by_FastOrtho	TR12473-c0_g2_i1
o2140	TR37135-c0_g1_i1	TR641-c0_g1_i1	Matched_to_other_by_FastOrtho
o2141	TR56987-c9_g7_i1	TR18613-c1_g2_i1	TR12439-c0_g2_i2
o2142	TR27825-c1_g13_i4	TR39045-c1_g1_i2	TR16866-c0_g4_i1
o2143	TR8562-c1_g1_i1	TR18021-c0_g1_i1	TR12437-c0_g2_i1
o2144	TR5939-c0_g1_i1	TR7480-c1_g4_i1	TR12428-c2_g3_i1
o2145	TR52125-c0_g2_i1	Matched_to_other_by_FastOrtho	TR12404-c1_g3_i1
o2146	TR34275-c0_g7_i3	TR14227-c0_g8_i1	TR12392-c0_g7_i1
o2147	TR26888-c0_g4_i1	TR15678-c0_g3_i2	TR38183-c0_g2_i1
o2148	TR23216-c1_g2_i1	TR40451-c8_g1_i1	TR41769-c0_g1_i1
o2149	TR58182-c0_g1_i1	TR24484-c0_g4_i3	TR42095-c0_g4_i3
o2150	TR37432-c0_g9_i1	TR48438-c1_g5_i1	TR42086-c1_g2_i1
o2151	TR56906-c0_g2_i1	TR15061-c0_g1_i2	TR42082-c0_g2_i1
o2152	TR54753-c0_g5_i1	TR8488-c0_g2_i1	TR42081-c0_g1_i1
o2153	TR53313-c0_g1_i1	TR29795-c0_g2_i1	Matched_to_other_by_FastOrtho
o2154	TR1322-c0_g2_i1	TR35405-c1_g1_i1	Matched_to_other_by_FastOrtho
o2155	TR23411-c0_g1_i1	TR39746-c0_g1_i1	TR42059-c0_g3_i1
o2156	TR59860-c0_g1_i1	Matched_to_other_by_FastOrtho	TR42051-c0_g1_i1
o2157	TR3709-c1_g1_i1	TR22332-c1_g1_i1	TR42042-c0_g1_i1
o2158	TR42279-c0_g1_i1	TR45388-c0_g1_i1	TR42036-c0_g1_i1
o2159	TR49550-c3_g1_i1	TR44547-c1_g1_i1	TR18418-c12_g1_i1
o2160	TR44412-c0_g2_i1	Matched_to_other_by_FastOrtho	TR18418-c11_g2_i1
o2161	TR51121-c0_g2_i1	Matched_to_other_by_FastOrtho	TR18418-c5_g1_i1
o2162	TR17016-c0_g2_i1	TR17050-c0_g2_i1	TR18418-c2_g1_i1
o2163	TR40049-c1_g3_i1	TR15809-c0_g3_i2	Matched_to_other_by_FastOrtho
o2164	TR49550-c2_g1_i1	TR44547-c2_g1_i1	TR18418-c7_g2_i1
o2165	TR22505-c2_g2_i1	TR50767-c0_g2_i1	TR18450-c0_g2_i1
o2166	TR48346-c0_g1_i1	TR9053-c1_g2_i1	TR18443-c1_g1_i1
o2167	TR37883-c0_g1_i2	TR6416-c1_g1_i1	TR18460-c0_g1_i1
o2168	TR9755-c0_g2_i1	TR44846-c0_g1_i1	TR1846-c0_g1_i1
o2169	TR56540-c1_g2_i1	TR48456-c1_g2_i1	TR40845-c0_g1_i1
o2170	TR26083-c1_g1_i1	TR4774-c0_g4_i1	Matched_to_other_by_FastOrtho
o2171	TR31570-c1_g1_i1	TR46135-c0_g2_i1	TR46835-c2_g5_i1
o2172	TR41725-c0_g4_i1	TR47136-c0_g3_i1	TR42301-c1_g1_i1
o2173	TR52542-c0_g5_i1	TR42002-c1_g1_i4	TR42296-c0_g2_i1
o2174	TR11138-c0_g2_i1	Matched_to_other_by_FastOrtho	TR42304-c2_g1_i1
o2175	TR46739-c0_g1_i1	TR24603-c0_g1_i1	TR42302-c0_g2_i1
o2176	TR44255-c1_g4_i2	TR16506-c0_g5_i1	TR42227-c2_g8_i1
o2177	TR4339-c3_g3_i1	TR43688-c0_g1_i1	TR41774-c3_g3_i2
o2178	TR54008-c2_g4_i1	TR34265-c0_g4_i3	TR42262-c0_g3_i1
o2179	TR34771-c1_g2_i5	TR25144-c0_g1_i2	TR42231-c0_g1_i1
o2180	TR4094-c0_g3_i3	TR22105-c0_g5_i3	TR41774-c0_g2_i1
o2181	TR17520-c0_g1_i1	TR4556-c0_g1_i1	TR42323-c1_g1_i2
o2182	TR47360-c1_g4_i2	TR25811-c1_g6_i1	TR42315-c1_g4_i1
o2183	TR20655-c0_g2_i1	TR46834-c0_g1_i3	TR511-c0_g1_i1
o2184	TR27758-c0_g2_i2	TR20946-c0_g1_i1	TR13933-c0_g1_i1
o2185	TR40211-c0_g1_i1	TR39313-c0_g1_i1	TR13932-c1_g1_i1
o2186	TR22694-c2_g1_i1	TR34556-c1_g1_i1	TR13934-c4_g5_i1
o2187	TR53816-c1_g2_i2	TR29525-c0_g5_i2	TR13934-c2_g1_i4
o2188	Matched_to_other_by_FastOrtho	TR25934-c1_g1_i2	TR13901-c2_g1_i1
o2189	TR33156-c0_g1_i1	TR34161-c0_g2_i1	Matched_to_other_by_FastOrtho
o2190	TR2779-c0_g1_i1	TR5187-c0_g4_i1	TR13913-c0_g1_i1
o2191	TR25696-c7_g3_i1	TR41945-c1_g4_i4	TR13977-c0_g5_i2
o2192	TR52082-c0_g1_i1	TR25369-c0_g1_i1	TR13957-c0_g1_i1
o2193	TR27155-c0_g1_i1	TR42486-c0_g1_i1	TR5785-c0_g1_i1
o2194	TR46627-c0_g3_i1	TR39496-c0_g3_i1	TR7100-c0_g1_i1
o2195	Matched_to_other_by_FastOrtho	TR13619-c0_g2_i1	TR19820-c0_g2_i1
o2196	TR60497-c0_g2_i1	TR22519-c0_g2_i1	TR19816-c0_g1_i2
o2197	TR55690-c0_g1_i1	TR17850-c1_g1_i1	TR19814-c1_g1_i3
o2198	TR22492-c5_g4_i2	TR29899-c0_g5_i1	TR19808-c0_g1_i2
o2199	TR16025-c2_g14_i1	TR33824-c2_g2_i1	TR19807-c3_g5_i6
o2200	TR16025-c2_g15_i1	TR33824-c2_g1_i2	TR19807-c3_g5_i4
o2201	TR16025-c0_g1_i2	TR8989-c0_g1_i1	TR19807-c2_g2_i1
o2202	TR56199-c0_g2_i2	TR710-c0_g6_i1	TR19803-c1_g4_i2
o2203	TR31114-c5_g6_i3	TR33852-c0_g2_i1	TR1980-c1_g3_i1
o2204	TR53867-c0_g1_i1	TR14952-c0_g2_i1	TR198-c0_g1_i1
o2205	TR61637-c8_g4_i4	TR16108-c3_g1_i7	TR6678-c0_g1_i2
o2206	TR11901-c0_g2_i1	TR11787-c0_g1_i3	Matched_to_other_by_FastOrtho
o2207	TR9511-c0_g1_i2	TR26527-c0_g5_i1	TR6675-c2_g1_i1
o2208	TR11474-c1_g1_i1	TR38366-c0_g1_i1	TR6719-c0_g1_i2
o2209	TR14389-c0_g2_i1	TR4599-c0_g2_i1	TR46795-c0_g2_i1
o2210	TR52900-c1_g3_i1	TR12497-c0_g6_i1	TR25024-c0_g7_i1
o2211	TR34613-c1_g1_i1	TR13498-c0_g1_i1	Matched_to_other_by_FastOrtho
o2212	TR23731-c1_g1_i1	TR45377-c1_g2_i3	TR6724-c0_g5_i1
o2213	TR58158-c0_g3_i1	TR5670-c1_g3_i2	TR6722-c1_g2_i1
o2214	TR53509-c0_g1_i2	TR18793-c0_g1_i1	TR16411-c0_g2_i1
o2215	TR16725-c0_g1_i2	TR49248-c0_g1_i1	TR16391-c0_g1_i1
o2216	TR5719-c5_g1_i1	TR17135-c1_g1_i1	TR16424-c1_g5_i1
o2217	TR45070-c0_g1_i1	TR40302-c0_g1_i1	TR16413-c0_g1_i1
o2218	TR5719-c5_g4_i3	TR17135-c0_g2_i1	TR16424-c1_g7_i1
o2219	TR37594-c0_g1_i1	TR23788-c0_g1_i1	TR16458-c0_g1_i1
o2220	TR10151-c0_g2_i1	TR37811-c0_g5_i2	TR16481-c0_g3_i1
o2221	TR54053-c0_g2_i1	TR25865-c0_g4_i1	Matched_to_other_by_FastOrtho
o2222	TR3915-c0_g3_i1	TR8500-c1_g1_i1	Matched_to_other_by_FastOrtho
o2223	TR43940-c0_g5_i1	TR32117-c1_g2_i2	TR5016-c0_g4_i2
o2224	TR56314-c0_g7_i1	TR9569-c0_g1_i1	TR3590-c0_g1_i1
o2225	TR3028-c6_g1_i1	TR47140-c12_g2_i1	TR35912-c1_g1_i2
o2226	TR5520-c0_g3_i2	TR17843-c1_g3_i1	TR22297-c0_g4_i1
o2227	TR39631-c0_g11_i1	TR34030-c0_g3_i1	TR22293-c1_g4_i1
o2228	TR55602-c1_g7_i1	TR9050-c0_g1_i1	TR2222-c0_g5_i6
o2229	TR24815-c1_g2_i1	TR33813-c1_g2_i2	TR22214-c0_g3_i1
o2230	TR24242-c0_g1_i1	TR26019-c2_g4_i1	TR22206-c4_g2_i1
o2231	TR447-c0_g2_i1	TR19523-c0_g8_i1	TR22206-c2_g6_i1
o2232	TR49001-c0_g1_i1	TR44429-c0_g2_i2	TR2229-c2_g6_i1
o2233	TR21669-c1_g2_i3	TR25794-c0_g3_i2	Matched_to_other_by_FastOrtho
o2234	TR23431-c2_g1_i1	TR19590-c2_g2_i1	TR22252-c0_g2_i1
o2235	TR28683-c0_g1_i1	TR34543-c0_g4_i2	Matched_to_other_by_FastOrtho
o2236	TR59241-c0_g5_i1	TR45534-c0_g6_i3	TR27098-c0_g3_i1
o2237	TR43413-c0_g2_i1	TR19861-c0_g1_i1	TR27097-c0_g3_i1
o2238	TR49156-c1_g1_i1	TR36656-c1_g1_i2	TR2702-c0_g1_i1
o2239	TR49816-c1_g5_i2	TR24564-c0_g1_i1	TR27009-c1_g2_i1
o2240	TR7730-c1_g1_i2	TR20528-c2_g1_i1	TR27008-c0_g1_i1
o2241	TR32430-c0_g1_i1	TR48768-c1_g6_i1	TR2700-c0_g6_i3
o2242	TR57475-c1_g1_i1	TR787-c0_g1_i1	TR27091-c0_g1_i1
o2243	TR49256-c0_g1_i1	TR41270-c0_g1_i1	TR27064-c0_g1_i1
o2244	TR51210-c8_g5_i2	TR13091-c1_g1_i1	TR27051-c0_g13_i2
o2245	TR31385-c0_g2_i1	TR7660-c0_g2_i1	TR27021-c0_g2_i1
